UNICODIGO,NOMBRE_VACUNA,moda
000612,BNT162B2 PFIZER,2021-01-13T00:00:00.000000
000660,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
000963,ASTRAZENECA,2021-01-14T00:00:00.000000
001988,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
001455,ASTRAZENECA,2021-01-10T00:00:00.000000
000631,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
002867,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
001008,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
000522,CORONAVAC SINOVAC,2021-01-09T00:00:00.000000
002061,CANSINO,2021-01-12T00:00:00.000000
001742,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001658,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000747,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000711,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
001761,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001448,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000810,ASTRAZENECA,2021-01-05T00:00:00.000000
000652,BNT162B2 PFIZER,2021-01-05T00:00:00.000000
002785,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000033,BNT162B2 PFIZER,2021-01-30T00:00:00.000000
001699,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
002980,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
002068,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
000736,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002062,OTRA VACUNA,2021-01-04T00:00:00.000000
001736,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002072,ASTRAZENECA,2021-01-13T00:00:00.000000
001866,SPUTNIK V,2021-01-18T00:00:00.000000
000088,ASTRAZENECA,2021-01-20T00:00:00.000000
001302,CORONAVAC SINOVAC,2021-01-10T00:00:00.000000
001162,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001699,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
000855,BNT162B2 PFIZER,2021-01-29T00:00:00.000000
002977,CANSINO,2021-01-09T00:00:00.000000
000615,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
001257,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
001913,CORONAVAC SINOVAC,2021-01-27T00:00:00.000000
002780,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000719,OTRA VACUNA,2021-01-29T00:00:00.000000
001088,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
000186,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
001081,CORONAVAC SINOVAC,2021-01-27T00:00:00.000000
001273,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
038012,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
000280,CANSINO,2021-01-15T00:00:00.000000
001713,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
000988,ASTRAZENECA,2021-01-12T00:00:00.000000
000808,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002061,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001764,CORONAVAC SINOVAC,2021-01-20T00:00:00.000000
001167,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
000653,CORONAVAC SINOVAC,2021-01-09T00:00:00.000000
000140,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
002976,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
000390,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
001385,ASTRAZENECA,2021-01-21T00:00:00.000000
000860,BNT162B2 PFIZER,2021-01-29T00:00:00.000000
002061,CORONAVAC SINOVAC,2021-01-15T00:00:00.000000
001492,CORONAVAC SINOVAC,2021-01-06T00:00:00.000000
000524,CORONAVAC SINOVAC,2021-01-23T00:00:00.000000
000257,CORONAVAC SINOVAC,2021-01-26T00:00:00.000000
002057,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
001575,ASTRAZENECA,2021-01-26T00:00:00.000000
002775,ASTRAZENECA,2021-01-24T00:00:00.000000
000130,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
001356,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
040436,CORONAVAC SINOVAC,2021-01-05T00:00:00.000000
000516,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
002052,CORONAVAC SINOVAC,2021-01-25T00:00:00.000000
000789,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
000035,OTRA VACUNA,2021-01-02T00:00:00.000000
002051,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
001253,ASTRAZENECA,2021-01-10T00:00:00.000000
001298,CORONAVAC SINOVAC,2021-01-21T00:00:00.000000
000901,BNT162B2 PFIZER,2021-01-07T00:00:00.000000
000064,ASTRAZENECA,2021-01-14T00:00:00.000000
000279,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
000740,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001944,CORONAVAC SINOVAC,2021-01-06T00:00:00.000000
001851,ASTRAZENECA,2021-01-29T00:00:00.000000
000808,ASTRAZENECA,2021-01-02T00:00:00.000000
000029,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
002030,BNT162B2 PFIZER,2021-01-23T00:00:00.000000
002896,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
000656,CORONAVAC SINOVAC,2021-01-17T00:00:00.000000
001940,OTRA VACUNA,2021-01-22T00:00:00.000000
001644,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001360,ASTRAZENECA,2021-01-08T00:00:00.000000
002051,CANSINO,2021-01-12T00:00:00.000000
019313,BNT162B2 PFIZER,2021-01-04T00:00:00.000000
002053,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
002910,ASTRAZENECA,2021-01-30T00:00:00.000000
000495,CORONAVAC SINOVAC,2021-01-14T00:00:00.000000
000990,ASTRAZENECA,2021-01-01T00:00:00.000000
002789,ASTRAZENECA,2021-01-06T00:00:00.000000
001197,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
